stop_id,stop_name,latitude,longitude
115,Memnagar,23.051697,72.535169
116,University,23.037307,72.544748
117,Andhjan Mandal,,
118,Himmatlal Park,23.029753,72.532414
119,Jodhpur Char Rasta,,
120,Star Bazaar,23.016848,72.515504
121,ISRO,23.027390,72.517572
122,Ramdevnagar,23.021644,72.512197
123,ISKCON Cross Road,23.027153,72.508525
124,ISKCON Mandir,23.027486,72.504945
125,Antariksh Colony,23.027763,72.500916
126,Jayantilal Park,,
127,Swagat Bungalow,,
128,Ambli Gam,23.026455,72.482187
129,Bopal Approach,,
130,Bhavya Park,,
131,Ghuma Gam,,
132,Samarpan Bungalows,,
133,Sterling City,23.032322,72.469152
134,Bopal Gam,23.034007,72.464070
135,Little Wings,23.032076,72.459613
136,Ashok Vatika,23.027937,72.495703
137,Maninagar,22.998660,72.611401
138,Kankariya Telephone Exchange,,
139,Kankariya Lake Shukla Dada Chowk,,
140,Rambaug,22.999924,72.600669
141,Maninagar Char Rasta,,
142,Astodiya Darwaja,,
143,Raipur Darwaja,,
144,Soma Textiles,,
145,Geeta Mandir,,
146,Bhulabhai Park,,
147,Mangal Park,,
148,Narayana Hospital,23.022428,72.623409
149,Jaimangal,,
150,Sola Cross Road,23.052723,72.546802
151,Shree Valinath Chowk,,
152,Memnagar,23.053084,72.532931
153,University,23.037307,72.544748
154,Andhjan Mandal,,
155,Himmatlal Park,23.029753,72.532414
156,Jodhpur Char Rasta,,
157,Star Bazaar,23.016848,72.515504
158,ISRO,23.027390,72.517572
159,Ramdevnagar,23.021644,72.512197
160,ISKCON Cross Road,23.027153,72.508525
161,ISKCON Mandir,23.027486,72.504945
162,Antariksh Colony,23.027763,72.500916
163,Jayantilal Park,,
164,Swagat Bungalow,,
165,Ambli Gam,23.026455,72.482187
166,Bopal Approach,,
167,Bhavya Park,,
168,Ghuma Gam,,
169,Samarpan Bungalows,,
170,Sterling City,23.032322,72.469152
171,Bopal Gam,23.034007,72.464070
172,Little Wings,23.032076,72.459613
173,Ashok Vatika,23.027937,72.495703
174,Shivranjani,23.024304,72.531295
175,Jhansi Ki Rani,23.023029,72.536330
176,Nehrunagar,23.022343,72.542840
177,Manekbaug,23.017430,72.544266
178,Dharnidhar Derasar,23.008410,72.548661
179,Anjali,23.004447,72.553100
180,Chandranagar,22.999753,72.558099
181,Khodiyarnagar,,
182,Danilimda Char Rasta,,
183,Danilimda Road,22.998758,72.583418
184,Chhipa Society,,
185,Chandola Lake,22.986953,72.586964
186,BRTS Workshop,,
187,Kashiram Textiles,,
188,Jodhpur Char Rasta,,
189,Ramdevnagar,23.021644,72.512197
190,ISKCON Cross Road,23.027153,72.508525
191,ISKCON Mandir,23.027486,72.504945
192,Antariksh Colony,23.027763,72.500916
193,Jayantilal Park,,
194,Swagat Bungalow,,
195,Ambli Gam,23.026455,72.482187
196,Bopal Approach,,
197,Bhavya Park,,
198,Ghuma Gam,,
199,Samarpan Bungalows,,
200,Sterling City,23.032322,72.469152
201,Bopal Gam,23.034007,72.464070
202,Little Wings,23.032076,72.459613
203,Ashok Vatika,23.027937,72.495703
204,Kankariya Telephone Exchange,,
205,Maninagar,22.998660,72.611401
206,Swaminarayan Mandir,23.045009,72.533786
207,Jawahar Chowk,22.995137,72.605099
208,Bhairavnath Road,,
209,Mira Cinema Char Rasta,,
210,Raipur Darwaja,,
211,Soma Textiles,,
212,Geeta Mandir,,
213,Bhulabhai Park,,
214,Mangal Park,,
215,Narayana Hospital,23.022428,72.623409
216,Maninagar,22.998660,72.611401
217,Shivranjani,23.024304,72.531295
218,Jhansi Ki Rani,23.023029,72.536330
219,Nehrunagar,23.022343,72.542840
220,Manekbaug,23.017430,72.544266
221,Dharnidhar Derasar,23.008410,72.548661
222,Anjali,23.004447,72.553100
223,Chandranagar,22.999753,72.558099
224,Khodiyarnagar,,
225,Danilimda Char Rasta,,
226,Vaikunth Dham Mandir,,
227,Swaminarayan College,23.045318,72.533760
228,Kankariya Telephone Exchange,,
229,Kankariya Lake Shukla Dada Chowk,,
230,Rambaug,22.999924,72.600669
231,Maninagar Char Rasta,,
232,Jodhpur Char Rasta,,
233,Star Bazaar,23.016848,72.515504
234,ISRO,23.027390,72.517572
235,Ramdevnagar,23.021644,72.512197
236,ISKCON Cross Road,23.027153,72.508525
237,ISKCON Mandir,23.027486,72.504945
238,Antariksh Colony,23.027763,72.500916
239,Jayantilal Park,,
240,Swagat Bungalow,,
241,Ambli Gam,23.026455,72.482187
242,Bopal Approach,,
243,Bhavya Park,,
244,Ghuma Gam,,
245,Samarpan Bungalows,,
246,Sterling City,23.032322,72.469152
247,Bopal Gam,23.034007,72.464070
248,Little Wings,23.032076,72.459613
249,Ashok Vatika,23.027937,72.495703
250,Shivranjani,23.024304,72.531295
251,Jhansi Ki Rani,23.023029,72.536330
252,Nehrunagar,23.022343,72.542840
253,Jodhpur Char Rasta,,
254,Star Bazaar,23.016848,72.515504
255,ISRO,23.027390,72.517572
256,Ramdevnagar,23.021644,72.512197
257,ISKCON Cross Road,23.027153,72.508525
258,Grid Station,,
259,Odhav Fire Station,,
260,Vallabh Nagar,23.059484,72.536028
261,Chhotalal ni Chali,,
262,Morlidhar Society,,
263,Odhav Talav,23.025580,72.665351
264,Ajit Mill Char Rasta,,
265,Lokamanya Tilak Bag,,
266,Raikhad Char Rasta,,
267,Municipal Corporation Office,,
268,Astodiya Chakala,,
269,Astodiya Darwaja,,
270,Raipur Darwaja,,
271,Soma Textiles,,
272,L Colony,23.024867,72.546162
273,Panjrapole Char Rasta,,
274,Gulbai Tekra Approach,,
275,LD Engg. College,,
276,M J Library,,
277,Law Garden,23.026394,72.561057
278,Narayana Hospital,23.022428,72.623409
279,Vasundhara Society,,
280,Soni ni Chali B,,
281,Sarthi Bungalows,,
282,DCIS Circle,,
283,Kalpataru Park,,
284,Adalaj Circle,,
285,Adalaj S.T. Stand,,
286,Trimandir,,
287,Amba Township,,
288,Swagat City,,
289,Prabha Hanuman,,
290,Grid Station,,
291,Odhav Fire Station,,
292,Vallabh Nagar,23.059484,72.536028
293,Chhotalal ni Chali,,
294,Morlidhar Society,,
295,Odhav Talav,23.025580,72.665351
296,SP Ring Road Approach,,
297,Ajit Mill Char Rasta,,
298,Lokamanya Tilak Bag,,
299,Raikhad Char Rasta,,
300,Municipal Corporation Office,,
301,Astodiya Chakala,,
302,Astodiya Darwaja,,
303,Raipur Darwaja,,
304,Karnamukteshwar Mahadev,,
305,Sarangpur Darwaja,,
306,Soma Textiles,,
307,LD Engg. College,,
308,M J Library,,
309,Law Garden,23.026394,72.561057
310,Patel Mills,,
311,Rakhiyal Char Rasta,,
312,Narayana Hospital,23.022428,72.623409
313,Vasundhara Society,,
314,Soni ni Chali B,,
315,Jaimangal,,
316,Sola Cross Road,23.052723,72.546802
317,Shree Valinath Chowk,,
318,Memnagar,23.053084,72.532931
319,University,23.037307,72.544748
320,Andhjan Mandal,,
321,Himmatlal Park,23.029753,72.532414
322,Jodhpur Char Rasta,,
323,Star Bazaar,23.016848,72.515504
324,ISRO,23.027390,72.517572
325,Ramdevnagar,23.021644,72.512197
326,ISKCON Cross Road,23.027153,72.508525
327,Ghodasar,22.991243,72.616423
328,Naroda Gam,23.077102,72.655785
329,Anjali,23.004447,72.553100
330,Chandranagar,22.999753,72.558099
331,Khodiyarnagar,,
332,Danilimda Char Rasta,,
333,Danilimda Road,22.998758,72.583418
334,Chhipa Society,,
335,Chandola Lake,22.986953,72.586964
336,BRTS Workshop,,
337,Kashiram Textiles,,
338,Narol,22.948393,72.597785
339,Mukesh Industries,,
340,Isanpur,22.981130,72.601295
341,Jashodanagar Char Rasta,,
342,Express Highway Junction,,
343,CTM Cross Road,,
344,Purvdeep Society,,
345,Jogeshwari Society,,
346,Rabari Colony,23.003119,72.633568
347,Ram Rajya Nagar,,
348,Rameshwar Park,,
349,Geeta Gauri Cinema,,
350,Soni ni Chali,,
351,Viratnagar,,
352,Bapu Nagar Approach,,
353,Lilanagar,,
354,Thakkar Nagar Approach,,
355,Hirawadi,,
356,Vijay Park,23.045838,72.529910
357,Krishna nagar,23.086884,72.545417
358,Dhanush Dhari Mandir,,
359,Naroda S. T. Workshop,,
360,Bethak,,
361,Vasna,23.002006,72.547241
362,Muktidham Naroda,,
363,Haridarshan Char Rasta,,
364,Swaminarayan Park,23.005525,72.552265
365,Sthapatya Eligance,,
366,Hanspura Ring Road,,
367,Naroda Bazaar,,
368,G.E.B (Naroda),,
369,Hanspura Gam,,
370,Isanpur,22.981130,72.601295
371,Ghodasar,22.991243,72.616423
372,Rameshwar Park,,
373,Narol,22.948393,72.597785
374,Mukesh Industries,,
375,Jashodanagar Char Rasta,,
376,Express Highway Junction,,
377,CTM Cross Road,,
378,Purvdeep Society,,
379,Jogeshwari Society,,
380,Rabari Colony,23.003119,72.633568
381,Ram Rajya Nagar,,
382,Geeta Gauri Cinema,,
383,Soni ni Chali,,
384,Viratnagar,,
385,Bapu Nagar Approach,,
386,Lilanagar,,
387,Thakkar Nagar Approach,,
388,Hirawadi,,
389,Vijay Park,23.045838,72.529910
390,Krishna nagar,23.086884,72.545417
391,Dhanush Dhari Mandir,,
392,Naroda S. T. Workshop,,
393,Grid Station,,
394,Odhav Fire Station,,
395,Vallabh Nagar,23.059484,72.536028
396,Chhotalal ni Chali,,
397,Morlidhar Society,,
398,Odhav Talav,23.025580,72.665351
399,SP Ring Road Approach,,
400,Ajit Mill Char Rasta,,
401,Lokamanya Tilak Bag,,
402,Raikhad Char Rasta,,
403,Municipal Corporation Office,,
404,Astodiya Chakala,,
405,Astodiya Darwaja,,
406,Raipur Darwaja,,
407,Karnamukteshwar Mahadev,,
408,Sarangpur Darwaja,,
409,Soma Textiles,,
410,LD Engg. College,,
411,M J Library,,
412,Law Garden,23.026394,72.561057
413,Patel Mills,,
414,Rakhiyal Char Rasta,,
415,Narayana Hospital,23.022428,72.623409
416,Vasundhara Society,,
417,Soni ni Chali B,,
418,Jaimangal,,
419,Sola Cross Road,23.052723,72.546802
420,Shree Valinath Chowk,,
421,Memnagar,23.051697,72.535169
422,University,23.037307,72.544748
423,Andhjan Mandal,,
424,Himmatlal Park,23.029753,72.532414
425,Jodhpur Char Rasta,,
426,Star Bazaar,23.016848,72.515504
427,ISRO,23.027390,72.517572
428,Ramdevnagar,23.021644,72.512197
429,ISKCON Cross Road,23.027153,72.508525
430,Shivranjani,23.024304,72.531295
431,Jhansi Ki Rani,23.023029,72.536330
432,Nehrunagar,23.022343,72.542840
433,Jodhpur Char Rasta,,
434,Star Bazaar,23.016848,72.515504
435,ISRO,23.027390,72.517572
436,Ramdevnagar,23.021644,72.512197
437,ISKCON Cross Road,23.027153,72.508525
438,Grid Station,,
439,Odhav Fire Station,,
440,Vallabh Nagar,23.059484,72.536028
441,Chhotalal ni Chali,,
442,Morlidhar Society,,
443,Odhav Talav,23.025580,72.665351
444,SP Ring Road Approach,,
445,Ajit Mill Char Rasta,,
446,Lokamanya Tilak Bag,,
447,Raikhad Char Rasta,,
448,Municipal Corporation Office,,
449,Astodiya Chakala,,
450,Astodiya Darwaja,,
451,Raipur Darwaja,,
452,Soma Textiles,,
453,L Colony,23.024867,72.546162
454,Panjrapole Char Rasta,,
455,Gulbai Tekra Approach,,
456,LD Engg. College,,
457,M J Library,,
458,Law Garden,23.026394,72.561057
459,Narayana Hospital,23.022428,72.623409
460,Vasundhara Society,,
461,Soni ni Chali B,,
462,Grid Station,,
463,Odhav Fire Station,,
464,Vallabh Nagar,23.059484,72.536028
465,Chhotalal ni Chali,,
466,Morlidhar Society,,
467,Odhav Talav,23.025580,72.665351
468,SP Ring Road Approach,,
469,Ajit Mill Char Rasta,,
470,Lokamanya Tilak Bag,,
471,Raikhad Char Rasta,,
472,Municipal Corporation Office,,
473,Astodiya Chakala,,
474,Astodiya Darwaja,,
475,Raipur Darwaja,,
476,Karnamukteshwar Mahadev,,
477,Sarangpur Darwaja,,
478,Soma Textiles,,
479,LD Engg. College,,
480,M J Library,,
481,Law Garden,23.026394,72.561057
482,Patel Mills,,
483,Rakhiyal Char Rasta,,
484,Narayana Hospital,23.022428,72.623409
485,Vasundhara Society,,
486,Soni ni Chali B,,
487,R.T.O Circle,,
488,Ranip Cross Road,,
489,Bhavsar Hostel,23.067260,72.568980
490,Akhbarnagar,23.066483,72.559622
491,Pragatinagar,23.064659,72.556160
492,Shastrinagar,23.062307,72.553041
493,Jaimangal,,
494,Sola Cross Road,23.052723,72.546802
495,Shree Valinath Chowk,,
496,Memnagar,23.053084,72.532931
497,University,23.037307,72.544748
498,Andhjan Mandal,,
499,Himmatlal Park,23.029753,72.532414
500,Shivranjani,23.024304,72.531295
501,Jhansi Ki Rani,23.023029,72.536330
502,Nehrunagar,23.022343,72.542840
503,Manekbaug,23.017430,72.544266
504,Dharnidhar Derasar,23.008410,72.548661
505,Anjali,23.005798,72.555793
506,Chandranagar,22.999753,72.558099
507,Khodiyarnagar,,
508,Danilimda Char Rasta,,
509,Vaikunth Dham Mandir,,
510,Swaminarayan College,23.045318,72.533760
511,Kankariya Telephone Exchange,,
512,Maninagar,22.998660,72.611401
513,Swaminarayan Mandir,23.045009,72.533786
514,Jawahar Chowk,22.995137,72.605099
515,Bhairavnath Road,,
516,Mira Cinema Char Rasta,,
517,Ranip Cross Road,,
518,Bhavsar Hostel,23.067260,72.568980
519,Akhbarnagar,23.066483,72.559622
520,Pragatinagar,23.064659,72.556160
521,Shastrinagar,23.062307,72.553041
522,Jaimangal,,
523,Sola Cross Road,23.052723,72.546802
524,Shree Valinath Chowk,,
525,Memnagar,23.053084,72.532931
526,University,23.037307,72.544748
527,Andhjan Mandal,,
528,Himmatlal Park,23.029753,72.532414
529,Shivranjani,23.024304,72.531295
530,Jhansi Ki Rani,23.023029,72.536330
531,Nehrunagar,23.022343,72.542840
532,Manekbaug,23.017430,72.544266
533,Dharnidhar Derasar,23.008410,72.548661
534,Anjali,23.005798,72.555793
535,Chandranagar,22.999753,72.558099
536,Khodiyarnagar,,
537,Danilimda Char Rasta,,
538,Vaikunth Dham Mandir,,
539,Swaminarayan College,23.045318,72.533760
540,Kankariya Telephone Exchange,,
541,Maninagar,22.998660,72.611401
542,Swaminarayan Mandir,23.045009,72.533786
543,Jawahar Chowk,22.995137,72.605099
544,Bhairavnath Road,,
545,Mira Cinema Char Rasta,,
546,Sabarmati Power House,,
547,Rathi Apartment,,
548,Sabarmati Municipal Swimming pool,,
1104,Mangal Park,,
549,Sabarmati Police Station,23.085306,72.591621
550,Motera Cross Road,,
551,Visat -Gandhinagar Junction,,
552,R.T.O Extension,,
553,ONGC Avani Bhavan,,
554,Jantanagar,22.986721,72.645877
555,Shiv Shaktinagar,,
556,Chandkheda Gam,23.110334,72.563771
557,Maninagar,22.998660,72.611401
558,Vaikunth Dham Mandir,,
559,Swaminarayan College,23.045318,72.533760
560,Kankariya Telephone Exchange,,
561,Kankariya Lake Shukla Dada Chowk,,
562,Rambaug,22.999924,72.600669
563,Maninagar Char Rasta,,
564,Danilimda Road,22.998758,72.583418
565,Chhipa Society,,
566,Vaikunth Dham Mandir,,
567,Swaminarayan College,23.045318,72.533760
568,Kankariya Telephone Exchange,,
569,Maninagar,22.998660,72.611401
570,Swaminarayan Mandir,23.045009,72.533786
571,Jawahar Chowk,22.995137,72.605099
572,Bhairavnath Road,,
573,Mira Cinema Char Rasta,,
574,Danilimda Road,22.998758,72.583418
575,Chhipa Society,,
576,Chandola Lake,22.986953,72.586964
577,BRTS Workshop,,
578,Kashiram Textiles,,
579,Maninagar,22.998660,72.611401
580,R.T.O Circle,,
581,Ranip Cross Road,,
582,Bhavsar Hostel,23.067260,72.568980
583,Akhbarnagar,23.066483,72.559622
584,Shastrinagar,23.062307,72.553041
585,Jaimangal,,
586,Sola Cross Road,23.052723,72.546802
587,Shree Valinath Chowk,,
588,Memnagar,23.053084,72.532931
589,University,23.037307,72.544748
590,Andhjan Mandal,,
591,Himmatlal Park,23.029753,72.532414
592,Shivranjani,23.024304,72.531295
593,Jhansi Ki Rani,23.023029,72.536330
594,Nehrunagar,23.022343,72.542840
595,Manekbaug,23.017430,72.544266
596,Dharnidhar Derasar,23.008410,72.548661
597,Anjali,23.005798,72.555793
598,Chandranagar,22.999753,72.558099
599,Khodiyarnagar,,
600,Danilimda Char Rasta,,
601,Vaikunth Dham Mandir,,
602,Swaminarayan College,23.045318,72.533760
603,Kankariya Telephone Exchange,,
604,Kankariya Lake Shukla Dada Chowk,,
605,Rambaug,22.999924,72.600669
606,Maninagar Char Rasta,,
607,Maninagar,22.998660,72.611401
608,R.T.O Circle,,
609,Ranip Cross Road,,
610,Bhavsar Hostel,23.067260,72.568980
611,Akhbarnagar,23.066483,72.559622
612,Pragatinagar,23.064659,72.556160
613,Shastrinagar,23.062307,72.553041
614,Jaimangal,,
615,Sola Cross Road,23.052723,72.546802
616,Shree Valinath Chowk,,
617,Memnagar,23.053084,72.532931
618,University,23.037307,72.544748
619,Andhjan Mandal,,
620,Himmatlal Park,23.029753,72.532414
621,Shivranjani,23.024304,72.531295
622,Jhansi Ki Rani,23.023029,72.536330
623,Nehrunagar,23.022343,72.542840
624,Manekbaug,23.017430,72.544266
625,Dharnidhar Derasar,23.008410,72.548661
626,Anjali,23.005798,72.555793
627,Chandranagar,22.999753,72.558099
628,Khodiyarnagar,,
629,Danilimda Char Rasta,,
630,Vaikunth Dham Mandir,,
631,Swaminarayan College,23.045318,72.533760
632,Kankariya Telephone Exchange,,
633,Kankariya Lake Shukla Dada Chowk,,
634,Rambaug,22.999924,72.600669
635,Maninagar Char Rasta,,
636,Sabarmati Power House,,
637,Rathi Apartment,,
638,Visat -Gandhinagar Junction,,
639,ONGC Avani Bhavan,,
640,Jantanagar,22.986721,72.645877
641,Shiv Shaktinagar,,
642,Shivranjani,23.024304,72.531295
643,Jhansi Ki Rani,23.023029,72.536330
644,Nehrunagar,23.022343,72.542840
645,Manekbaug,23.017430,72.544266
646,Dharnidhar Derasar,23.008410,72.548661
647,Anjali,23.005798,72.555793
648,Chandranagar,22.999753,72.558099
649,Khodiyarnagar,,
650,Danilimda Char Rasta,,
651,Vaikunth Dham Mandir,,
652,Swaminarayan College,23.045318,72.533760
653,Kankariya Telephone Exchange,,
654,Maninagar,22.998660,72.611401
655,Swaminarayan Mandir,23.045009,72.533786
656,Jawahar Chowk,22.995137,72.605099
657,Bhairavnath Road,,
658,Mira Cinema Char Rasta,,
659,Jodhpur Char Rasta,,
660,Star Bazaar,23.016848,72.515504
661,ISRO,23.027390,72.517572
662,Ramdevnagar,23.021644,72.512197
663,ISKCON Cross Road,23.027153,72.508525
664,ISKCON Mandir,23.027486,72.504945
665,Antariksh Colony,23.027763,72.500916
666,Jayantilal Park,,
667,Swagat Bungalow,,
668,Ambli Gam,23.026455,72.482187
669,Bopal Approach,,
670,Bhavya Park,,
671,Ghuma Gam,,
672,Samarpan Bungalows,,
673,Sterling City,23.032322,72.469152
674,Bopal Gam,23.034011,72.464107
675,Little Wings,23.032076,72.459613
676,Ashok Vatika,23.027937,72.495703
677,Ranip Cross Road,,
678,Bhavsar Hostel,23.067260,72.568980
679,Akhbarnagar,23.066483,72.559622
680,Pragatinagar,23.064659,72.556160
681,Shastrinagar,23.062307,72.553041
682,Jaimangal,,
683,Sola Cross Road,23.052723,72.546802
684,Shree Valinath Chowk,,
685,Memnagar,23.053084,72.532931
686,University,23.037307,72.544748
687,Andhjan Mandal,,
688,Himmatlal Park,23.029753,72.532414
689,Shivranjani,23.024304,72.531295
690,Jhansi Ki Rani,23.023029,72.536330
691,Nehrunagar,23.022343,72.542840
692,Sabarmati Power House,,
693,Rathi Apartment,,
694,Sabarmati Municipal Swimming pool,,
695,Sabarmati Police Station,23.085306,72.591621
696,Motera Cross Road,,
697,Visat -Gandhinagar Junction,,
698,R.T.O Extension,,
699,ONGC Avani Bhavan,,
700,Jantanagar,22.986721,72.645877
701,Shiv Shaktinagar,,
702,Chandkheda Gam,23.110334,72.563771
703,L Colony,23.024867,72.546162
704,Panjrapole Char Rasta,,
705,Gulbai Tekra Approach,,
706,LD Engg. College,,
707,Sarthi Bungalows,,
708,DCIS Circle,,
709,Ranip Cross Road,,
710,Bhavsar Hostel,23.067260,72.568980
711,Akhbarnagar,23.066483,72.559622
712,Pragatinagar,23.064659,72.556160
713,Sabarmati Power House,,
714,Sabarmati Municipal Swimming pool,,
715,Sabarmati Police Station,23.085306,72.591621
716,Motera Cross Road,,
717,Visat -Gandhinagar Junction,,
718,R.T.O Extension,,
719,ONGC Avani Bhavan,,
720,Jantanagar,22.986721,72.645877
721,Shiv Shaktinagar,,
722,Chandkheda Gam,23.110334,72.563771
723,Sarthi Bungalows,,
724,DCIS Circle,,
725,Sarthi Bungalows,,
726,DCIS Circle,,
727,Kalpataru Park,,
728,Adalaj Circle,,
729,Adalaj S.T. Stand,,
730,Trimandir,,
731,Amba Township,,
732,Swagat City,,
733,Prabha Hanuman,,
734,R.T.O Circle,,
735,Ranip Cross Road,,
736,Akhbarnagar,23.066483,72.559622
737,Pragatinagar,23.064659,72.556160
738,Shastrinagar,23.062307,72.553041
739,Sabarmati Power House,,
740,Rathi Apartment,,
741,Sabarmati Municipal Swimming pool,,
742,Sabarmati Police Station,23.085306,72.591621
743,Motera Cross Road,,
744,Visat -Gandhinagar Junction,,
745,ONGC Avani Bhavan,,
746,Jantanagar,22.986721,72.645877
747,Shiv Shaktinagar,,
748,Chandkheda Gam,23.110334,72.563771
749,Sarthi Bungalows,,
750,DCIS Circle,,
751,R.T.O Circle,,
752,Ranip Cross Road,,
753,Bhavsar Hostel,23.067260,72.568980
754,Akhbarnagar,23.066483,72.559622
755,Pragatinagar,23.064659,72.556160
756,Shastrinagar,23.062307,72.553041
757,Jaimangal,,
758,Sola Cross Road,23.052723,72.546802
759,Shree Valinath Chowk,,
760,Memnagar,23.053084,72.532931
761,University,23.037307,72.544748
762,Andhjan Mandal,,
763,Himmatlal Park,23.029753,72.532414
764,Shivranjani,23.024304,72.531295
765,Jhansi Ki Rani,23.023029,72.536330
766,Nehrunagar,23.022343,72.542840
767,Sabarmati Power House,,
768,Rathi Apartment,,
769,Sabarmati Municipal Swimming pool,,
770,Sabarmati Police Station,23.085306,72.591621
771,Motera Cross Road,,
772,Visat -Gandhinagar Junction,,
773,ONGC Avani Bhavan,,
774,Jantanagar,22.986721,72.645877
775,Shiv Shaktinagar,,
776,Chandkheda Gam,23.110334,72.563771
777,L Colony,23.024867,72.546162
778,Panjrapole Char Rasta,,
779,Gulbai Tekra Approach,,
780,LD Engg. College,,
781,Sarthi Bungalows,,
782,DCIS Circle,,
783,Kalpataru Park,,
784,Adalaj Circle,,
785,Adalaj S.T. Stand,,
786,Trimandir,,
787,Amba Township,,
788,Swagat City,,
789,Prabha Hanuman,,
790,R.T.O Circle,,
791,Ranip Cross Road,,
792,Bhavsar Hostel,23.067260,72.568980
793,Akhbarnagar,23.066483,72.559622
794,Pragatinagar,23.064659,72.556160
795,Shastrinagar,23.062307,72.553041
796,Jaimangal,,
797,Sola Cross Road,23.052723,72.546802
798,Shree Valinath Chowk,,
799,Memnagar,23.053084,72.532931
800,University,23.037307,72.544748
801,Andhjan Mandal,,
802,Himmatlal Park,23.029753,72.532414
803,Shivranjani,23.024304,72.531295
804,Jhansi Ki Rani,23.023029,72.536330
805,Nehrunagar,23.022343,72.542840
806,Sabarmati Power House,,
807,Rathi Apartment,,
808,Sabarmati Municipal Swimming pool,,
809,Sabarmati Police Station,23.085306,72.591621
810,Motera Cross Road,,
811,Visat -Gandhinagar Junction,,
812,ONGC Avani Bhavan,,
813,Jantanagar,22.986721,72.645877
814,Shiv Shaktinagar,,
